Provience,City,CompanyShortName,IndustryField,Upper class of industry
广东,东莞市,广州市钻石世家珠宝有限公司,电子商务 · 其他,IT技术
广东,东莞市,广东俊特团贷网络信息服务股份有限公司,金融,金融财经
广东,东莞市,广州悠派展示设计有限公司,O2O,IT技术
广东,东莞市,东莞市松山湖网游孵化器有限公司,企业服务,IT技术
广东,东莞市,广东瓦力网络科技股份有限公司,移动互联网,IT技术
广东,东莞市,广东盛茂源贸易有限公司,电子商务 · 其他,IT技术
广东,东莞市,东莞市微通文化传播有限公司,移动互联网 · 电子商务,IT技术
广东,东莞市,天网商数科技有限公司,移动互联网 · 电子商务,IT技术
广东,东莞市,高高信息科技有限公司,移动互联网 · O2O,IT技术
广东,东莞市,东莞市盟大塑化科技有限公司,移动互联网 · 电子商务,IT技术
广东,东莞市,广东工多多网络科技有限公司,O2O,IT技术
广东,东莞市,重庆猪八戒网络有限公司,电子商务 · 生活服务,"IT技术,生活服务"
广东,东莞市,广东联冠实业集团有限公司,企业服务,IT技术
广东,东莞市,广东唯一网络科技有限公司,移动互联网 · 数据服务,IT技术
广东,东莞市,广东易通网络科技有限公司,移动互联网 · 电子商务,IT技术
广东,东莞市,东莞市启动网络科技有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
广东,东莞市,深圳市莱仕达电子科技有限公司,硬件 · 游戏,"IT技术,电子制造"
广东,东莞市,深圳市浩森小额贷款股份有限公司,金融,金融财经
广东,东莞市,广东酷配电子商务有限公司,电子商务,IT技术
广东,东莞市,广州找塑料网络科技有限公司,电子商务,IT技术
广东,东莞市,北京博斐讯科技有限公司,O2O · 企业服务,IT技术
广东,东莞市,深圳贝声贸易有限公司,电子商务,IT技术
广东,东莞市,深圳凯航云荟科技有限公司,移动互联网 · 社交网络,IT技术
广东,东莞市,广东大头车供应链网络科技有限公司,移动互联网 · O2O,IT技术
广东,东莞市,深圳市天玑软件技术有限公司,移动互联网,IT技术
广东,东莞市,华勤通讯技术有限公司,移动互联网,IT技术
广东,东莞市,东莞市旭海信息技术有限公司,移动互联网,IT技术
广东,东莞市,东莞市九维网络科技有限公司,移动互联网 · 社交网络,IT技术
广东,东莞市,广东莞贷互联网信息服务有限公司,金融,金融财经
广东,东莞市,广东酷乐网络有限公司,游戏 · 文化娱乐,"IT技术,生活服务"
广东,东莞市,东莞市千百浪信息科技有限公司,移动互联网 · 电子商务,IT技术
广东,东莞市,东莞神器网络科技有限公司,移动互联网 · 电子商务,IT技术
广东,东莞市,东莞市云迅文化传播有限公司,企业服务,IT技术
广东,东莞市,深圳市微视觉科技有限公司广州分公司,移动互联网 · 电子商务,IT技术
广东,东莞市,深圳市微视觉科技有限公司广州分公司,移动互联网 · O2O,IT技术
广东,东莞市,广东巨细信息科技股份有限公司,移动互联网 · 招聘,"IT技术,生活服务"
广东,东莞市,上海海鼎信息工程股份有限公司,企业服务,IT技术
广东,东莞市,智嘉通讯科技（东莞）有限公司,其他,其他
广东,东莞市,深圳小象快跑信息科技有限公司,移动互联网 · 电子商务,IT技术
广东,东莞市,东莞市亮金网络科技有限公司,电子商务 · 企业服务,IT技术
广东,东莞市,广州帷策智能科技有限公司,数据服务,IT技术
广东,东莞市,东莞宝成鞋业有限公司,其他,其他
广东,东莞市,东莞市悦车广告有限公司,文化娱乐,生活服务
广东,东莞市,广州妙课网络科技有限公司,O2O · 教育,"IT技术,生活服务"
广东,东莞市,东莞市蓝米科技有限公司,电子商务,IT技术
广东,东莞市,广东腾正计算机科技有限公司,其他,其他
广东,东莞市,深圳市秦通科技有限公司,电子商务,IT技术
广东,东莞市,广东天行健网络有限公司,电子商务,IT技术
广东,东莞市,东莞市龙兴投资有限公司,金融 · 数据服务,"IT技术,金融财经"
广东,东莞市,前海东阳光(深圳)电子商务有限公司,电子商务,IT技术
广东,东莞市,广东一一五科技有限公司,移动互联网 · 数据服务,IT技术
广东,东莞市,长沙创居网络科技有限公司,移动互联网 · O2O,IT技术
广东,东莞市,东莞引销文化传播有限公司,电子商务 · 教育,"IT技术,生活服务"
广东,东莞市,广东盈动天下信息科技发展有限公司,移动互联网,IT技术
广东,东莞市,广东易富网络科技有限公司,电子商务 · 移动互联网,IT技术
广东,东莞市,EachBuyer.com,电子商务,IT技术
广东,东莞市,广东快客电子商务有限公司,电子商务 · O2O,IT技术
广东,东莞市,维沃移动通信有限公司,移动互联网,IT技术
广东,东莞市,东莞市粉丝网络科技有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
广东,东莞市,深圳前海洛克基金管理有限公司,金融,金融财经
广东,东莞市,东莞市龙商网络科技有限公司,移动互联网 · 电子商务,IT技术
广东,东莞市,广州云移信息科技有限公司,移动互联网 · O2O,IT技术
广东,东莞市,汉海信息技术（上海）有限公司,电子商务 · O2O,IT技术
广东,东莞市,卓望信息技术（北京）有限公司,移动互联网,IT技术
广东,东莞市,广东优信通信有限公司,移动互联网 · 企业服务,IT技术
广东,东莞市,东莞市携手物流科技有限公司,移动互联网 · O2O,IT技术
广东,东莞市,武汉启晨科技有限公司,移动互联网,IT技术
广东,东莞市,深圳市名通科技有限公司,企业服务,IT技术
广东,东莞市,逸动创新科技（深圳）有限公司,硬件 · 其他,电子制造
广东,东莞市,深圳卓伯信息咨询有限公司,移动互联网 · 游戏,IT技术
广东,东莞市,珠海市思为软件技术有限公司,企业服务,IT技术
广东,东莞市,东莞市飞碟信息科技有限公司,移动互联网 · 电子商务,IT技术
广东,东莞市,广东尚睿网络技术有限公司,电子商务 · 企业服务,IT技术
广东,东莞市,东莞市和赢信息科技有限公司,移动互联网 · 电子商务,IT技术
广东,东莞市,东莞市潮流前线信息科技有限公司,电子商务,IT技术
